,happiness
8001,3.614728928
8002,2.865947723
8003,3.445012808
8004,4.378621101
8005,3.402642965
8006,4.225174427
8007,4.01974678
8008,4.375460625
8009,4.022555828
8010,2.80577445
8011,3.321674109
8012,3.792316914
8013,4.032913208
8014,3.821221828
8015,3.779362202
8016,4.445001602
8017,3.636555195
8018,4.47936964
8019,3.849423409
8020,4.180505753
8021,4.102304935
8022,3.761982679
8023,4.1167202
8024,3.757293224
8025,3.093029022
8026,3.995953321
8027,4.173732758
8028,3.720773697
8029,4.447746754
8030,4.180293083
8031,3.90960741
8032,4.014863491
8033,4.124513626
8034,3.335040331
8035,3.725704908
8036,4.706579685
8037,4.224758148
8038,4.079925537
8039,3.446365833
8040,4.215618134
8041,4.25932312
8042,3.810786486
8043,3.816196203
8044,3.783460617
8045,4.220660686
8046,3.832023144
8047,3.995167255
8048,4.015555382
8049,3.833435535
8050,4.398865223
8051,3.625590086
8052,4.333660126
8053,3.029234648
8054,4.010925293
8055,4.409584999
8056,2.7727952
8057,3.960778952
8058,3.605940104
8059,3.543756723
8060,4.170663357
8061,2.955258369
8062,3.457684755
8063,3.943670988
8064,4.06534481
8065,4.138076782
8066,4.283115864
8067,4.183610439
8068,3.964057207
8069,3.371970892
8070,4.002065659
8071,4.092177391
8072,4.443629265
8073,3.757302761
8074,3.939908981
8075,3.361952066
8076,3.752726555
8077,3.612338781
8078,4.076063156
8079,4.686659336
8080,4.02007103
8081,3.806102276
8082,3.89446497
8083,4.386026382
8084,4.286550522
8085,4.385800838
8086,3.89256072
8087,4.07843399
8088,4.443337917
8089,3.568855286
8090,3.965162277
8091,4.192898273
8092,4.033071518
8093,4.140249252
8094,4.182530403
8095,4.555447102
8096,3.229153156
8097,4.130730629
8098,3.842927217
8099,3.563613892
8100,4.070782661
8101,4.268232346
8102,3.937188625
8103,3.444657326
8104,4.638300419
8105,4.06612587
8106,4.269443512
8107,4.319983482
8108,4.194552422
8109,3.713690042
8110,3.778252602
8111,4.293082714
8112,3.794371605
8113,4.13472271
8114,4.776407242
8115,3.991639853
8116,4.087253571
8117,3.708650827
8118,3.666814566
8119,4.087301254
8120,4.600728989
8121,2.986203671
8122,4.11127615
8123,3.573847532
8124,3.938259602
8125,4.163603306
8126,4.551530361
8127,1.997929931
8128,3.87191534
8129,3.864019871
8130,3.898932457
8131,3.906355619
8132,4.219269753
8133,4.263743401
8134,4.312246323
8135,4.065990448
8136,4.601876259
8137,4.171010017
8138,3.635073185
8139,4.060777187
8140,2.956161499
8141,3.860396624
8142,3.766625881
8143,4.361340046
8144,3.685587645
8145,3.957827091
8146,2.123199463
8147,4.188243866
8148,2.790100813
8149,3.538410902
8150,3.770091057
8151,2.706763506
8152,4.004623413
8153,3.681893826
8154,3.629870892
8155,3.925036192
8156,3.796395063
8157,3.757409096
8158,3.221081495
8159,4.124062061
8160,4.196240425
8161,3.432792187
8162,3.883088112
8163,3.960751295
8164,3.697389364
8165,4.092561722
8166,4.353592396
8167,3.97631216
8168,3.239815235
8169,3.470538139
8170,3.872445107
8171,4.104373932
