,happiness
8001,3.3069207031731764
8002,2.8043584533416115
8003,3.507537690087552
8004,4.332721296892805
8005,3.4046826520958846
8006,4.184459934958566
8007,3.9119272848447606
8008,4.494152469835298
8009,3.9573769444717
8010,2.9191233749146352
8011,3.2462471801265624
8012,3.6983257993895373
8013,3.950398408899719
8014,3.895495410737064
8015,3.480928467318078
8016,4.5249337817519155
8017,3.8189273619354207
8018,4.448276330901461
8019,3.730430492990535
8020,4.116996723741114
8021,3.9612769944975295
8022,3.5910915342368526
8023,3.8893728087097013
8024,3.7180360294866004
8025,2.9630069593952464
8026,4.038066583692984
8027,4.154956759348169
8028,3.787852647130895
8029,4.255911928727606
8030,4.191800054912434
8031,3.9068455935177044
8032,3.9964203606249646
8033,4.063437118999366
8034,3.437630077713815
8035,3.4958888067431095
8036,4.630487798291849
8037,4.122728471088794
8038,4.163954175552438
8039,3.5703521569409618
8040,4.253961638513586
8041,4.318183889666598
8042,3.779324790189475
8043,3.691678995300625
8044,3.767465884323731
8045,4.26250868331885
8046,3.932618839526636
8047,4.515830908715832
8048,4.004586649669649
8049,3.9063948561779798
8050,4.465457194619683
8051,3.8209535276274607
8052,4.31807367807542
8053,3.437283284715023
8054,3.9294488697981618
8055,4.322264972561573
8056,2.9297248372628344
8057,3.8620064965332963
8058,4.0526654211495
8059,2.8342832115489562
8060,4.158108352749416
8061,2.7438926787730615
8062,3.782253698666244
8063,4.142394679014988
8064,4.104856313495714
8065,4.031468182778944
8066,4.176213744611435
8067,4.2789040496641135
8068,3.9976443711195637
8069,3.7390529875409437
8070,3.5612181978584676
8071,3.9133911076865564
8072,4.450755498618986
8073,3.5403557604813365
8074,4.072237384243497
8075,3.5928558503616874
8076,3.404296652019771
8077,3.3685570472204858
8078,3.897480075452336
8079,4.267902225028563
8080,4.099547731228107
8081,3.8972507472966
8082,3.917942776371737
8083,4.509663890858639
8084,4.7363108653124595
8085,4.603767369824713
8086,3.9520963217565783
8087,4.116954026007498
8088,4.071403820836527
8089,3.334387712915757
8090,3.678299614021191
8091,4.260020406831875
8092,4.295791334822219
8093,4.290932634981358
8094,4.207168974769007
8095,4.584111209981315
8096,3.324265275294096
8097,4.098467081645284
8098,3.9670840863415404
8099,3.4525134468923078
8100,4.077805444656331
8101,4.239610631178637
8102,3.6246717586754085
8103,3.4139405262575964
8104,4.492761381051606
8105,4.052801633750623
8106,4.291132571432169
8107,4.320208302338033
8108,4.114036535506041
8109,3.679733616653346
8110,3.773998329262872
8111,4.456142738076275
8112,3.499000807516993
8113,3.9533313610942926
8114,4.806764669243043
8115,4.050984120857399
8116,4.046155273262055
8117,3.8141587168707503
8118,3.7248025238980778
8119,3.9248388403211125
8120,4.739539368730613
8121,3.0755333965890266
8122,4.102402946562764
8123,3.3669252899572473
8124,3.8790671318865066
8125,4.069688147268602
8126,4.7391588296666445
8127,2.3685626335255074
8128,4.36992976880338
8129,3.819387706721543
8130,4.034213959173581
8131,3.915622348523012
8132,4.20893043323929
8133,4.294815464895557
8134,4.405895016063224
8135,4.09257386532655
8136,4.545615941944655
8137,4.006963833636115
8138,3.7864692089163885
8139,4.0002374324072525
8140,3.0543076511837355
8141,3.768431242740106
8142,3.7372057510641477
8143,4.2990455639028164
8144,3.571385759542145
8145,3.955040179364729
8146,2.3865412909728287
8147,4.264808558553234
8148,2.9138515656971977
8149,3.537600954497279
8150,3.7888150528420623
8151,2.805637668736599
8152,4.081374514353162
8153,3.6284578421512226
8154,3.786405293405274
8155,3.7319993971344454
8156,3.862935787478427
8157,3.68295116203644
8158,3.106650762090081
8159,3.8495075016419693
8160,4.072360072067724
8161,3.5655329452938083
8162,3.7855541617537134
8163,3.8721008337021376
8164,3.6520980585010205
8165,4.0783098790535135
8166,4.384250188008967
8167,3.862228672170541
8168,2.9860607519823947
8169,3.2274871748206033
8170,3.9457126889156
8171,4.060643823054376
8172,3.8565092189645647
8173,3.966639382509863
8174,3.717232017349676
8175,3.9725649510173393
8176,4.451838288302635
8177,2.6787609232066334
8178,4.640737560092268
8179,4.3508513811696234
8180,3.3481334377784915
8181,3.854370264535416
8182,3.8295005884971527
8183,3.765218886440346
8184,3.7821952095296343
8185,3.4424486850032023
8186,3.345354876083894
8187,3.969963944540492
8188,3.777974532448228
8189,3.991030735925097
8190,3.9170061941547543
8191,3.8315992341460627
8192,3.8824545539740996
8193,3.7175529655162984
8194,3.9625579029589812
8195,4.5810950922162705
8196,3.219557774445083
8197,3.901920153147349
8198,4.2877583871682905
8199,4.072180623951669
8200,5.543516062148971
8201,3.4554053571400196
8202,4.285718271673388
8203,3.8763224074430225
8204,4.041799900933742
8205,4.05837347743392
8206,3.8519768339941445
8207,3.7625951862200733
8208,3.9422469849096933
8209,3.540457750615081
8210,3.432866839571242
8211,3.7295422650963053
8212,4.136887638005792
8213,4.07961750459231
8214,3.9305259167710247
8215,3.5983363419302448
8216,3.9681923790780202
8217,3.4648593931921123
8218,3.669513046585275
8219,3.804429122226346
8220,3.9306275229439844
8221,4.477652589827606
8222,3.479317962374391
8223,2.808667021525158
8224,3.868258535394931
8225,4.193569825732265
8226,3.808165828246038
8227,4.560783200255809
8228,3.3286464560286717
8229,4.188853599481413
8230,3.2608371409993278
8231,4.008111849769348
8232,4.013119414660633
8233,3.9200290724240077
8234,3.721826388119342
8235,3.605937686363977
8236,3.051202485775338
8237,3.533369130908836
8238,3.7903240728742436
8239,3.691654956090195
8240,3.458950504316256
8241,3.7101963320752267
8242,3.875250435857111
8243,4.426938215625269
8244,4.187743976991358
8245,3.9632990824120067
8246,4.049027333173665
8247,3.8416937354724614
8248,4.140875996798346
8249,4.524603765203409
8250,3.8021100108910777
8251,4.483153637316393
8252,4.440580855060423
8253,3.8895428295033425
8254,3.7931579365310855
8255,3.7093036688215877
8256,3.5551926466128116
8257,4.075352854736355
8258,3.0245290911150984
8259,4.513448462846343
8260,3.7415844809893555
8261,4.247042693906679
8262,4.144765576026305
8263,4.119970855801759
8264,3.753978313255994
8265,4.068655286833334
8266,3.4370074299062185
8267,3.548266846146097
8268,4.01735510132422
8269,3.4936813923255676
8270,3.7794853793269034
8271,3.163934231647719
8272,4.228051512030955
8273,3.497361621514325
8274,3.647860353315532
8275,4.377639198884422
8276,3.9872011618698893
8277,4.044496429254029
8278,3.8902263446792116
8279,4.332406514599795
8280,4.422415930481829
8281,4.221452721167097
8282,4.150796001003348
8283,4.203039161715456
8284,4.132858191023458
8285,3.853418435847646
8286,2.6177032276259014
8287,4.632264539130652
8288,3.9774438905527036
8289,4.03832668897403
8290,4.032203183394744
8291,4.063057510292368
8292,4.232862722922263
8293,3.6873088356237846
8294,4.533320713910809
8295,3.817394305640914
8296,4.2531750146737295
8297,3.901261920692307
8298,4.656943603029141
8299,2.6326377375992998
8300,3.2561379745072623
8301,3.94657431730699
8302,4.249611507376472
8303,3.8363821871400754
8304,4.203764440984586
8305,3.9059094724261723
8306,4.464535121497992
8307,4.389071272412675
8308,4.405474685736639
8309,3.9896296648643252
8310,3.59113137612851
8311,4.1587754285682985
8312,4.8363176038406195
8313,4.175597234411488
8314,2.8476303611734486
8315,4.211253286439495
8316,3.8173176864970793
8317,3.893872651449085
8318,4.053581315836917
8319,3.2046560164645093
8320,3.911091213470897
8321,4.193111598934141
8322,4.619124011022413
8323,3.4812076791725026
8324,3.5765617647166863
8325,4.1608945441392695
8326,4.384085489036757
8327,3.937227596679669
8328,4.146743599646543
8329,3.026973994635058
8330,4.415385863628977
8331,4.125295926596024
8332,3.860541165499912
8333,3.1963752496981543
8334,4.017899125600375
8335,3.686107150635688
8336,4.166380034013237
8337,3.501135304491913
8338,4.31237905969407
8339,3.8904533009448903
8340,3.277097494013658
8341,3.9992774410996548
8342,3.7781298403146355
8343,2.9009909047565774
8344,3.9776506235209146
8345,3.943864972164218
8346,3.4335369966145346
8347,2.846294165002589
8348,3.991450707014759
8349,4.092989778703821
8350,3.5080101546621067
8351,4.189187267717401
8352,3.504730558784819
8353,3.295675406497704
8354,4.200334757472756
8355,3.48009167975785
8356,4.406934138536628
8357,4.1589739796174765
8358,3.890771832801507
8359,3.5428726036781724
8360,3.8952094830684723
8361,4.167529815189988
8362,4.122469542033986
8363,3.690858811164782
8364,3.505146647843841
8365,3.871925272834706
8366,3.8375018202546136
8367,4.207050679960302
8368,4.196916386403911
8369,3.589533263212087
8370,3.273209530911508
8371,4.0399343818284645
8372,3.5102798486976434
8373,2.238436690715435
8374,2.855227412859941
8375,4.545898335902823
8376,4.847522827525051
8377,4.140686013550326
8378,3.973068574205363
8379,4.375290729090419
8380,3.5475490963607488
8381,4.349279011760919
8382,3.72765722018942
8383,4.458492404923669
8384,3.416668107224019
8385,3.809231763786464
8386,4.134456762620502
8387,3.9251019714411743
8388,3.9011236048787037
8389,3.2539663342492178
8390,4.169940084581149
8391,3.849014749380717
8392,3.6583198267218435
8393,4.105334198767021
8394,4.2419473951481645
8395,4.175564792267508
8396,3.7403450380678502
8397,3.9196284961375123
8398,3.2972971035461227
